"STATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00451233","2017-03-14",,,,,"37.8",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","3.9",",,7","7.8",",,7,0800",,,,,,
"USC00451233","2017-03-15",,,,,"39.4",",,7,0800","0.0",",,7,","0.0",",,7,","8.9",",,7","4.4",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-03-16",,,,,"11.2",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","1.7",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-03-17",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","6.7",",,7","-0.6",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-03-18",,,,,"30.5",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","3.9",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-03-19",,,,,"24.6",",,7,0800","0.0",",,7,","0.0",",,7,","6.1",",,7","-1.7",",,7","-1.1",",,7,0800",,,,,,
"USC00451233","2017-03-20",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","6.7",",,7","-1.1",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-03-21",,,,,"0.3",",,7,0800","0.0",",,7,","0.0",",,7,","11.7",",,7","4.4",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-03-22",,,,,"10.4",",,7,0800","0.0",",,7,","0.0",",,7,","11.7",",,7","2.8",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-03-23",,,,,"6.6",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","1.7",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-03-24",,,,,"17.0",",,7,0800","0.0",",,7,","0.0",",,7,","10.6",",,7","1.7",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-03-25",,,,,"24.6",",,7,0800","0.0",",,7,","0.0",",,7,","7.2",",,7","2.2",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-03-26",,,,,"5.1",",,7,0800","0.0",",,7,","0.0",",,7,","5.0",",,7","1.7",",,7","2.2",",,7,0800",,,,,,
"USC00451233","2017-03-27",,,,,"23.9",",,7,0800","0.0",",,7,","0.0",",,7,","6.7",",,7","2.2",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-03-28",,,,,"23.1",",,7,0800","0.0",",,7,","0.0",",,7,","6.1",",,7","2.8",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-03-29",,,,,"37.8",",,7,0800","0.0",",,7,","0.0",",,7,","6.1",",,7","2.8",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-03-30",,,,,"29.7",",,7,0800","0.0",",,7,","0.0",",,7,","8.9",",,7","1.1",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-03-31",,,,,"2.8",",,7,0800","0.0",",,7,","0.0",",,7,","5.6",",,7","-0.6",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-04-01",,,,,"1.0",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","-0.6",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-04-02",,,,,"14.0",",,7,0800","0.0",",,7,","0.0",",,7,","7.2",",,7","1.1",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-04-03",,,,,"5.6",",,7,0800","0.0",",,7,","0.0",",,7,","6.1",",,7","0.0",",,7","0.0",",,7,0800",,,,,,
"USC00451233","2017-04-04",,,,,"0.5",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","0.0",",,7","6.1",",,7,0800",,,,,,
"USC00451233","2017-04-05",,,,,"4.8",",,7,0800","0.0",",,7,","0.0",",,7,","12.2",",,7","5.6",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-04-06",,,,,"8.4",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","5.0",",,7","5.0",",,7,0800",,,,,,
"USC00451233","2017-04-07",,,,,"6.9",",,7,0800","0.0",",,7,","0.0",",,7,","10.6",",,7","4.4",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-04-08",,,,,"1.0",",,7,0800","0.0",",,7,","0.0",",,7,","11.1",",,7","1.7",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-04-09",,,,,"10.4",",,7,0800","0.0",",,7,","0.0",",,7,","5.6",",,7","0.6",",,7","0.6",",,7,0800",,,,,,
"USC00451233","2017-04-10",,,,,"3.3",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","0.6",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-04-11",,,,,"9.7",",,7,0800","0.0",",,7,","0.0",",,7,","6.1",",,7","-0.6",",,7","-0.6",",,7,0800",,,,,,
"USC00451233","2017-04-12",,,,,"1.0",",,7,0800","0.0",",,7,","0.0",",,7,","12.2",",,7","-0.6",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-04-13",,,,,"24.1",",,7,0800","0.0",",,7,","0.0",",,7,","10.6",",,7","2.2",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-04-14",,,,,"16.5",",,7,0800","0.0",",,7,","0.0",",,7,","8.9",",,7","1.7",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-04-15",,,,,"6.1",",,7,0800","0.0",",,7,","0.0",",,7,","6.7",",,7","1.7",",,7","2.2",",,7,0800",,,,,,
"USC00451233","2017-04-16",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","10.0",",,7","0.6",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-04-17",,,,,"0.3",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","5.6",",,7","7.2",",,7,0800",,,,,,
"USC00451233","2017-04-18",,,,,"11.4",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","5.0",",,7","5.0",",,7,0800",,,,,,
"USC00451233","2017-04-19",,,,,"11.2",",,7,0800","0.0",",,7,","0.0",",,7,","11.1",",,7","3.3",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-04-20",,,,,"18.0",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","3.3",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-04-21",,,,,"8.9",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","1.7",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-04-22",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","16.1",",,7","1.7",",,7","12.2",",,7,0800",,,,,,
"USC00451233","2017-04-23",,,,,"8.4",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","5.0",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-04-24",,,,,"21.8",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","3.3",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-04-25",,,,,"11.2",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","3.3",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-04-26",,,,,"16.5",",,7,0800","0.0",",,7,","0.0",",,7,","10.0",",,7","4.4",",,7","6.1",",,7,0800",,,,,,
"USC00451233","2017-04-27",,,,,"15.2",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","2.8",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-04-28",,,,,"10.4",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","2.2",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-04-29",,,,,"3.8",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","1.1",",,7","1.7",",,7,0800",,,,,,
"USC00451233","2017-04-30",,,,,"7.6",",,7,0800","0.0",",,7,","0.0",",,7,","11.1",",,7","1.7",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-05-01",,,,,"22.4",",,7,0800","0.0",",,7,","0.0",",,7,","6.7",",,7","3.3",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-05-02",,,,,"6.6",",,7,0800","0.0",",,7,","0.0",",,7,","5.6",",,7","3.3",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-05-03",,,,,"3.3",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","3.9",",,7","8.3",",,7,0800",,,,,,
"USC00451233","2017-05-04",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","19.4",",,7","8.3",",,7","18.3",",,7,0800",,,,,,
"USC00451233","2017-05-05",,,,,"17.3",",,7,0800","0.0",",,7,","0.0",",,7,","26.7",",,7","9.4",",,7","9.4",",,7,0800",,,,,,
"USC00451233","2017-05-06",,,,,"29.7",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","0.6",",,7","2.2",",,7,0800",,,,,,
"USC00451233","2017-05-07",,,,,"4.1",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","2.2",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-05-08",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","12.2",",,7","3.3",",,7","6.1",",,7,0800",,,,,,
"USC00451233","2017-05-09",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","14.4",",,7","3.9",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-05-10",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","18.3",",,7","3.9",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-05-11",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","20.0",",,7","6.7",",,7","8.9",",,7,0800",,,,,,
"USC00451233","2017-05-12",,,,,"20.3",",,7,0800","0.0",",,7,","0.0",",,7,","14.4",",,7","2.2",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-05-13",,,,,"9.7",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","2.8",",,7","3.9",",,7,0800",,,,,,
"USC00451233","2017-05-14",,,,,"7.9",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","3.9",",,7","5.0",",,7,0800",,,,,,
"USC00451233","2017-05-15",,,,,"5.3",",,7,0800","0.0",",,7,","0.0",",,7,","9.4",",,7","4.4",",,7","4.4",",,7,0800",,,,,,
"USC00451233","2017-05-16",,,,,"48.8",",,7,0800","0.0",",,7,","0.0",",,7,","7.8",",,7","2.8",",,7","2.8",",,7,0800",,,,,,
"USC00451233","2017-05-17",,,,,"30.2",",,7,0800","0.0",",,7,","0.0",",,7,","5.6",",,7","1.1",",,7","3.3",",,7,0800",,,,,,
"USC00451233","2017-05-18",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","8.3",",,7","3.3",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-05-19",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","14.4",",,7","6.1",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-05-20",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","18.3",",,7","6.7",",,7","9.4",",,7,0800",,,,,,
"USC00451233","2017-05-21",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","18.3",",,7","7.8",",,7","8.9",",,7,0800",,,,,,
"USC00451233","2017-05-22",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","23.3",",,7","8.9",",,7","10.6",",,7,0800",,,,,,
"USC00451233","2017-05-23",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","25.0",",,7","10.6",",,7","11.1",",,7,0800",,,,,,
"USC00451233","2017-05-24",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","25.6",",,7","5.6",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-05-25",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","11.7",",,7","4.4",",,7","5.6",",,7,0800",,,,,,
"USC00451233","2017-05-26",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","17.2",",,7","5.6",",,7","8.3",",,7,0800",,,,,,
"USC00451233","2017-05-27",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","22.2",",,7","8.3",",,7","10.6",",,7,0800",,,,,,
"USC00451233","2017-05-28",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","25.6",",,7","10.6",",,7","11.7",",,7,0800",,,,,,
"USC00451233","2017-05-29",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","26.7",",,7","10.0",",,7","12.8",",,7,0800",,,,,,
"USC00451233","2017-05-30",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","23.9",",,7","9.4",",,7","9.4",",,7,0800",,,,,,
"USC00451233","2017-05-31",,,,,"1.5",",,7,0800","0.0",",,7,","0.0",",,7,","10.6",",,7","8.3",",,7","9.4",",,7,0800",,,,,,
"USC00451233","2017-06-01",,,,,"2.8",",,7,0800","0.0",",,7,","0.0",",,7,","19.4",",,7","9.4",",,7","11.7",",,7,0800",,,,,,
"USC00451233","2017-06-02",,,,,"17.5",",,7,0800","0.0",",,7,","0.0",",,7,","13.9",",,7","8.3",",,7","9.4",",,7,0800",,,,,,
"USC00451233","2017-06-03",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","17.2",",,7","8.9",",,7","10.0",",,7,0800",,,,,,
"USC00451233","2017-06-04",,,,,"0.5",",,7,0800","0.0",",,7,","0.0",",,7,","13.3",",,7","7.2",",,7","7.2",",,7,0800",,,,,,
"USC00451233","2017-06-05",,,,,"0.3",",,7,0800","0.0",",,7,","0.0",",,7,","13.9",",,7","5.0",",,7","5.0",",,7,0800",,,,,,
"USC00451233","2017-06-06",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","18.9",",,7","5.0",",,7","8.3",",,7,0800",,,,,,
"USC00451233","2017-06-07",,,,,"0.0",",,7,0800","0.0",",,7,","0.0",",,7,","26.1",",,7","8.3",",,7","12.2",",,7,0800",,,,,,
"USC00451233","2017-06-08",,,,,"6.1",",,7,0800","0.0",",,7,","0.0",",,7,","23.9",",,7","10.0",",,7","12.2",",,7,0800",,,,,,
"USC00451233","2017-06-09",,,,,"24.4",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","5.6",",,7","6.1",",,7,0800",,,,,,
"USC00451233","2017-06-10",,,,,"1.8",",,7,0800","0.0",",,7,","0.0",",,7,","12.8",",,7","6.1",",,7","6.1",",,7,0800",,,,,,
"USC00451233","2017-06-11",,,,,"2.3",",,7,0800","0.0",",,7,","0.0",",,7,","12.2",",,7","6.1",",,7","6.7",",,7,0800",,,,,,
"USC00451233","2017-06-12",,,,,"0.3",",,7,0800","0.0",",,7,","0.0",",,7,","15.6",",,7","6.7",",,7","8.3",",,7,0800",,,,,,
"USC00451233","2017-06-13",,,,,"0.3",",,7,0800","0.0",",,7,","0.0",",,7,","11.7",",,7","7.2",",,7","7.8",",,7,0800",,,,,,
"USC00451233","2017-06-14",,,,,"2.3",",,7,0800","0.0",",,7,","0.0",",,7,","13.3",",,7","5.6",",,7","6.7",",,7,0800",,,,,,
